date,Temperature,Humidity,Low,High
4/1/2015,29.4,74,218.7681955,316.2318045
5/1/2015,29.7,76,170.5681955,268.0318045
6/1/2015,28.2,84,85.76819554,183.2318045
7/1/2015,28.6,83,118.4681955,215.9318045
8/1/2015,28.3,83,137.7681955,235.2318045
9/1/2015,27.6,86,105.6681955,203.1318045
10/1/2015,28.3,83,111.5681955,209.0318045
11/1/2015,28,83,136.4681955,233.9318045
12/1/2015,27.8,78,151.9681955,249.4318045
1/1/2016,27.9,78,200.0681955,297.5318045
2/1/2016,27.3,73,161.7681955,259.2318045
3/1/2016,28,75,230.0681955,327.5318045
4/1/2016,30.1,74,235.4681955,332.9318045
5/1/2016,29.9,79,120.1681955,217.6318045
6/1/2016,28.3,84,95.56819554,193.0318045
7/1/2016,28.3,84,109.7681955,207.2318045
8/1/2016,28.4,83,111.0681955,208.5318045
9/1/2016,27.6,85,60.56819554,158.0318045
10/1/2016,27,88,23.76819554,121.2318045
11/1/2016,27.9,82,107.8681955,205.3318045
12/1/2016,27.1,80,63.66819554,161.1318045
1/1/2017,27.3,76,107.3681955,204.8318045
2/1/2017,27.1,76,139.2681955,236.7318045
3/1/2017,27.9,76,189.7681955,287.2318045
4/1/2017,29.3,77,196.3681955,293.8318045
5/1/2017,29,82,116.6681955,214.1318045
6/1/2017,28.7,82,98.86819554,196.3318045
7/1/2017,28,84,94.96819554,192.4318045
8/1/2017,27.7,86,103.5681955,201.0318045
9/1/2017,28.2,83,92.16819554,189.6318045
10/1/2017,27.5,86,61.46819554,158.9318045
11/1/2017,27.7,83,77.06819554,174.5318045
12/1/2017,26.3,79,84.66819554,182.1318045
1/1/2018,26.7,80,79.36819554,176.8318045
2/1/2018,26.6,76,147.8681955,245.3318045
3/1/2018,28.1,76,196.9681955,294.4318045
4/1/2018,29.1,76,199.5681955,297.0318045
5/1/2018,29.3,80,143.8681955,241.3318045
6/1/2018,28.1,84,74.46819554,171.9318045
7/1/2018,27.5,86,67.66819554,165.1318045
8/1/2018,28,84,86.86819554,184.3318045
9/1/2018,27.6,85,85.46819554,182.9318045
10/1/2018,28.1,81,125.2681955,222.7318045
11/1/2018,28.1,80,93.16819554,190.6318045
12/1/2018,27.8,80,78.36819554,175.8318045
1/1/2019,27,77,131.5681955,229.0318045
2/1/2019,27.4,76,174.3681955,271.8318045
3/1/2019,28.6,77,208.3681955,305.8318045
4/1/2019,29.9,77,196.5681955,294.0318045
5/1/2019,29.5,82,141.9681955,239.4318045
6/1/2019,28.5,85,61.96819554,159.4318045
7/1/2019,28.2,85,92.36819554,189.8318045
8/1/2019,27.6,86,85.06819554,182.5318045
9/1/2019,27.9,84,81.56819554,179.0318045
10/1/2019,27.9,85,72.96819554,170.4318045
11/1/2019,27.8,80,108.3681955,205.8318045
12/1/2019,26.5,76,123.9681955,221.4318045
1/1/2020,27.2,75,159.5681955,257.0318045
2/1/2020,27.2,72,170.0681955,267.5318045
3/1/2020,28.4,75,209.2681955,306.7318045
4/1/2020,29.8,76,193.9681955,291.4318045
5/1/2020,30.3,76,178.8681955,276.3318045
6/1/2020,28.5,82,48.26819554,145.7318045
7/1/2020,28.5,81,110.8681955,208.3318045
8/1/2020,28.4,82,121.1681955,218.6318045
9/1/2020,27.9,83,86.16819554,183.6318045
10/1/2020,27.1,84,29.26819554,126.7318045
11/1/2020,27.7,82,95.46819554,192.9318045
12/1/2020,27,78,96.06819554,193.5318045
1/1/2021,25.7,74,79.06819554,176.5318045
2/1/2021,26.3,76,139.2681955,236.7318045
3/1/2021,28.1,74,184.9681955,282.4318045
4/1/2021,29,80,148.7681955,246.2318045
5/1/2021,29,82,124.3681955,221.8318045
6/1/2021,28.6,82,138.1681955,235.6318045
7/1/2021,28.1,84,92.06819554,189.5318045
8/1/2021,28,84,97.76819554,195.2318045
9/1/2021,27.4,84,62.86819554,160.3318045
10/1/2021,28,82,78.06819554,175.5318045
11/1/2021,27.5,83,48.16819554,145.6318045
12/1/2021,26.9,74,91.66819554,189.1318045
1/1/2022,27.1,75,141.5681955,239.0318045
2/1/2022,27.9,76,120.5681955,218.0318045
3/1/2022,28,79,143.4681955,240.9318045
4/1/2022,28.7,77,162.1681955,259.6318045
5/1/2022,28.6,80,95.16819554,192.6318045
6/1/2022,28.7,79,127.4681955,224.9318045
7/1/2022,27.9,81,77.46819554,174.9318045
8/1/2022,27.8,81,97.26819554,194.7318045
9/1/2022,27.4,83,44.06819554,141.5318045
10/1/2022,27.4,79,53.66819554,151.1318045
11/1/2022,27.7,81,54.76819554,152.2318045
12/1/2022,26.6,73,78.16819554,175.6318045
1/1/2023,26.5,71,66.56819554,164.0318045
2/1/2023,27,71,114.7681955,212.2318045
3/1/2023,26.9,70,217.5681955,315.0318045
4/1/2023,29.6,72,164.3681955,261.8318045
5/1/2023,29.4,77,133.8681955,231.3318045
6/1/2023,28.7,83,92.96819554,190.4318045
7/1/2023,28,88,56.76819554,154.2318045
8/1/2023,29,83,172.1681955,269.6318045
9/1/2023,27.5,89,40.36819554,137.8318045
10/1/2023,28,84,96.36819554,193.8318045
11/1/2023,27.9,81,63.66819554,161.1318045
12/1/2023,28,76,112.4681955,209.9318045
